ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,semestre,rango_horario
2021-0017,1,2021-02-17,2021,2,17,04:10:00,4,SALTA Y CASEROS AV.,AVENIDA,SALTA,1,MOTO-PASAJEROS,MOTO,PASAJEROS,2021_S1,NOCTURNO
2021-0018,1,2021-02-20,2021,2,20,19:00:00,19,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,"JAURES, JEAN",3,PEATON-AUTO,PEATON,AUTO,2021_S1,NOCTURNO
2021-0019,1,2021-02-21,2021,2,21,01:20:00,1,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,TRIUNVIRATO AV.,12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0020,1,2021-02-21,2021,2,21,15:00:00,15,POTOSI Y GASCON,CALLE,POTOSI,5,PEATON-CARGAS,PEATON,CARGAS,2021_S1,DIURNO
2021-0021,1,2021-02-26,2021,2,26,05:30:00,5,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,"YRIGOYEN, HIPOLITO",3,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0023,1,2021-03-01,2021,3,1,09:20:00,9,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,4,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0024,1,2021-03-03,2021,3,3,16:30:00,16,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,"PERON, EVA AV.",9,BICICLETA-CARGAS,BICICLETA,CARGAS,2021_S1,DIURNO
2021-0025,1,2021-03-11,2021,3,11,03:45:00,3,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",GRAL PAZ,"PAZ, GRAL. AV.",8,MOTO-OTRO,MOTO,OTRO,2021_S1,NOCTURNO
2021-0026,1,2021-03-15,2021,3,15,02:35:00,2,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,NOCTURNO
2021-0027,1,2021-03-16,2021,3,16,15:30:00,15,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0028,1,2021-03-29,2021,3,29,17:20:00,17,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,COREA AV.,7,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,DIURNO
2021-0029,1,2021-03-31,2021,3,31,18:05:00,18,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,"FALCON, RAMON L.,CNEL.",7,AUTO-AUTO,AUTO,AUTO,2021_S1,DIURNO
2021-0030,1,2021-04-03,2021,4,3,18:30:00,18,FINOCHIETTO ENRIQUE DR. 1623,CALLE,FINOCHIETTO ENRIQUE DR.,4,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,DIURNO
2021-0031,1,2021-04-07,2021,4,7,10:29:00,10,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,9 DE JULIO AV.,1,PEATON-CARGAS,PEATON,CARGAS,2021_S1,DIURNO
2021-0032,1,2021-04-10,2021,4,10,19:55:00,19,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,"CANTILO, INT.",13,PEATON-MOTO,PEATON,MOTO,2021_S1,NOCTURNO
2021-0033,1,2021-04-14,2021,4,14,17:50:00,17,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,AUTOPISTA 25 DE MAYO,5,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021_S1,DIURNO
2021-0034,1,2021-04-19,2021,4,19,14:40:00,14,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,"ALCORTA, AMANCIO AV.",4,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0035,1,2021-05-03,2021,5,3,09:20:00,9,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,"JANER, ANA MARIA",8,MOTO-CARGAS,MOTO,CARGAS,2021_S1,DIURNO
2021-0036,1,2021-05-09,2021,5,9,06:00:00,6,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,"PAZ, GRAL. AV.",11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021_S1,DIURNO
2021-0037,1,2021-05-11,2021,5,11,07:10:00,7,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,MONROE,13,PEATON-PASAJEROS,PEATON,PASAJEROS,2021_S1,DIURNO
